NO;JENIS PENYAKIT;0-7 hr;8-28 hr;1 bl-1 th;1-4 th;5-9 th;10-14 th;15-19 th; 20-44 th;45-54 th;55-59 th;60-69 th;> 70 th;TOTAL
306;Pes;;;;;;;;;;;;;0
10;PENYAKIT MATA & ADNEKSA;;;;;;;;;;;;;
401;Polio Myelitis Akut;;;;;;;;;;;;;0
402;Campak;;;;;;;;;;;;;0
403;Radang Hati Menular;;;;;;;;;;;;;0
404;Rabies / Lyssa Test;;;;;;;;;;;;;0
405;DHF (DBD);;;;;;;;;;;;;0
406;Cacar Air;;;;;;;;;;;;;0
11;PENYAKIT PADA TELINGA & MASTOID;;;;;;;;;;;;;
501;Malaria dg pemeriksaan lab;;;;;;;;;;;;;0
502;Malaria Tropikana ( P. Falcifarum );;;;;;;;;;;;;0
503;Malaria tanpa pemeriksaan lab ( malaria klinis);;;;;;;;;;;;;0
504;Antrax;;;;;;;;;;;;;0
601;Infeksi Gonokokok;;;;;;;;;;;;;0
602;Non Gonokokok;;;;;;;;;;;;;0
603;Penyakit kelamin lain nya;;;;;;;;;;;;;0
701;Frambusia;;;;;;;;;;;;;0
702;Filariasis;;;;;;;;;;;;;0
703;Penyakit Kecacingan;;;;;;;;;;;;;0
14;PENYAKIT SAL. PERNAFASAN BAGIAN BAWAH;;;;;;;;;;;;;
704;Scables;;;;;;;;;;;;;0
802;Gangguan Neurotik;;;;;;;;;;;;;0
803;Retardasi Mental;;;;;;;;;;;;;0
804;Gangg. Kes bermula pd bayi,anak, remaja & perkembangan;;;;;;;;;;;;;0
805; Perkembangan jiwa lain nya;;;;;;;;;;;;;0
15;PENYAKIT RONGGA MULUT;;;;;;;;;;;;;
901;Epilepsi;;;;;;;;;;;;;0
902;Penyakit & kelainan susunan syaraf lain nya;;;;;;;;;;;;;0
1004;Kelainan Kornea;;;;;;;;;;;;;0
1301;Tonsilitis;;;;;;;;;;;;;0
1503;Ginggivitis & penyakit periodental;;;;;;;;;;;;;0
16;PENYAKIT PADA SALURAN KENCING;;;;;;;;;;;;;0
1701;Keguguran;;;;;;;;;;;;;0
1702;Pendarahan pd kehamilan, persalinan dan nifas;;;;;;;;;;;;;0
1703;Keracunan kehamilan ( eklamsia);;;;;;;;;;;;;0
17;SEBAB KEBIDANAN LANGSUNG;;;;;;;;;;;;;
1704;Partus Lama;;;;;;;;;;;;;0
1705;Infeksi pd masa kehamilan, persalinan dan nifas;;;;;;;;;;;;;0
1706;Hyperemesis;;;;;;;;;;;;;0
1801;Trauma Lahit;;;;;;;;;;;;;0
1802;Asfiksia;;;;;;;;;;;;;0
1803;Tetanus Neonaturum;;;;;;;;;;;;;0
1902;Keracunan bahan kimia;;;;;;;;;;;;;0
18;KEADAAN TERTENTU PADA MASA PERINATAL;;;;;;;;;;;;;
1903;Keracunan bahan makanan;;;;;;;;;;;;;0
2202;Jantung;;;;;;;;;;;;;0
2206;Kunjungan Hamil;;;;;;;;;;;;;0
2207;Anemia;;;;;;;;;;;;;0
19;KECELAKAAN DAN KERACUNAN;;;;;;;;;;;;;
2209;Suspek TB;;;;;;;;;;;;;0
2210;ILI;;;;;;;;;;;;;0
2216;Tumor;;;;;;;;;;;;;0
20;PENYAKIT KULIT PENJARINGAN SUB KUTAN;;;;;;;;;;;;;
13;PENYAKIT SAL. PERNAFASAN BAGIAN ATAS;;;;;;;;;;;;;
22;PENYAKIT LAIN NYA;;;;;;;;;;;;;
